auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000789;03/369/05;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Лиса, ворующая петуха»";;"Фаянс, роспись, завод им. М.И. Калинина, Конаково, 1952-1959 гг., марка «ЗиК Конаково 16-50 92», красным 1 сорт, высота 16 см (на основании склейка и скол)";6000;6000;03_369_05_01.jpg;03_369_05_02.jpg;03_369_05_03.jpg;03_369_05_04.jpg;03_369_05_05.jpg;03_369_05_06.jpg;03_369_05_07.jpg;;;;;;;
;00205;01/026/03;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Фигурка «Мальчик на санках»";;"Бисквит раскрашенный, СССР, 1920-1930-е гг., без марки, высота 12.5 см";0;0;farfor_malchik_na_sankah_01_026_03_1.jpg;farfor_malchik_na_sankah_01_026_03_2.jpg;farfor_malchik_na_sankah_01_026_03_3.jpg;farfor_malchik_na_sankah_01_026_03_4.jpg;farfor_malchik_na_sankah_01_026_03_5.jpg;farfor_malchik_na_sankah_01_026_03_6.jpg;;;;;;;;
;1000791;03/369/07;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Мальчик с букварем»";;"Фарфор, роспись, Ленинградский фарфоровый завод, 1950-е -1960-е гг., скульптор Г.С. Столбова, художник К.Г. Косенкова, марка синяя ЛФЗ, зеленым «2с», высота 9 см (склейка между фигурой и основанием)";0;0;03_369_07_01.jpg;03_369_07_02.jpg;03_369_07_03.jpg;03_369_07_04.jpg;03_369_07_05.jpg;03_369_07_06.jpg;03_369_07_07.jpg;;;;;;;
;1000795;03/369/11;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Мальчик с птичкой»";;"Фарфор, роспись, фабрика «Lladro», Испания, 1950-е гг., марка синяя «Lladro. Hand made in Spain», высота 16 см";0;0;03_369_11_01.jpg;03_369_11_02.jpg;03_369_11_03.jpg;03_369_11_04.jpg;03_369_11_05.jpg;;;;;;;;;
;1000775;03/223/17;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Мальчик с терьером»";;"Фарфор, лепка, роспись, Германия, Розенталь, марка 1935 г., в тесте - М.Н.FRITZ (автор модели - Мax Hermann Fritz, 1873-1948) и 494, высота 16 см";0;0;03_223_17_01.jpg;03_223_17_02.jpg;03_223_17_03.jpg;03_223_17_04.jpg;03_223_17_05.jpg;03_223_17_06.jpg;;;;;;;;
;1000787;03/369/03;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Маниловы» («Мертвые души» Н.В. Гоголь)";;"Фарфор, роспись, Ленинградский фарфоровый завод, 1950-е гг., скульптор Б.Я. Воробьев, художник И.И. Ризнич, модель 1953 г., марка синяя ЛФЗ, красным «в/с», высота 16,5 см";0;0;03_369_03_01.jpg;03_369_03_02.jpg;03_369_03_03.jpg;03_369_03_04.jpg;03_369_03_05.jpg;03_369_03_06.jpg;;;;;;;;
;00201;01/002/17;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Фигурка «Медвежонок»";;"Фарфор, роспись монохромная, подглазурная, ЛФЗ (Ленинградский фарфоровый завод им. Ломоносова), марка красно-коричневая, 1980-е гг., высота 2.5см";150;150;farfor_medvegonok_01_002_17_1.jpg;farfor_medvegonok_01_002_17_2.jpg;farfor_medvegonok_01_002_17_3.jpg;farfor_medvegonok_01_002_17_4.jpg;farfor_medvegonok_01_002_17_5.jpg;;;;;;;;;
;1000786;03/369/02;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Нахимовцы»";;"Фарфор, роспись, золочение, Ленинградский фарфоровый завод, 1950-е гг., скульптор С.Б. Велихова, художник Е.Н. Лупанова, модель 1949 г. , марка синяя ЛФЗ, 2 сорт, от руки коричневым «163», высота 20,5 см";0;0;03_369_02_01.jpg;03_369_02_02.jpg;03_369_02_03.jpg;03_369_02_04.jpg;03_369_02_05.jpg;;;;;;;;;
02;1000480;02/210/10;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Фигурка «Ребенок в зимней одежде» .";;"Фарфор, роспись, СССР, г. Новгород, завод «Пролетарий», без марки, 1950-е гг., высота 16,5 см.";0;0;02_210_10_1.jpg;02_210_10_2.jpg;02_210_10_3.jpg;02_210_10_4.jpg;02_210_10_5.jpg;02_210_10_6.jpg;02_210_10_7.jpg;;;;;;;
02;1000479;02/210/09;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Фигурка «Русский танец».";;"Фарфор, роспись, золочение, СССР, Чудово, 1958 г., высота 27,5 см.";1500;1500;02_210_09_1.jpg;02_210_09_2.jpg;02_210_09_3.jpg;02_210_09_4.jpg;02_210_09_5.jpg;02_210_09_6.jpg;02_210_09_7.jpg;;;;;;;
